,BN1,BN2,BN3,BN4,BN5,BN6,BN7,BN8,BN9,BN10
acc,0.806074766,0.809815951,0.790322581,0.73657289,0.808695652,0.803874092,0.792207792,0.821656051,0.791411043,0.773364486
recall,0.745945946,0.725490196,0.425120773,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.933333333,0.781512605
auc,0.78818085,0.786852241,0.678109735,0.77272872,0.816321464,0.708471761,0.811538462,0.830753058,0.835310734,0.775869571
f1,0.689138577,0.704761905,0.530120482,0.653198653,0.773972603,0.580310881,0.730337079,0.745454545,0.711864407,0.657243816
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
acc,0.806074766,0.809815951,0.790322581,0.73657289,0.785507246,0.803874092,0.792207792,0.821656051,0.742331288,0.773364486
recall,0.745945946,0.725490196,0.425120773,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.933333333,0.781512605
auc,0.78818085,0.786852241,0.678109735,0.77272872,0.79745354,0.708471761,0.811538462,0.830753058,0.801412429,0.775869571
f1,0.689138577,0.704761905,0.530120482,0.653198653,0.753333333,0.580310881,0.730337079,0.745454545,0.666666667,0.657243816
,,,,,,,,,,
acc,0.806074766,0.809815951,0.790322581,0.73657289,0.785507246,0.803874092,0.792207792,0.821656051,0.742331288,0.773364486
recall,0.745945946,0.725490196,0.425120773,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.933333333,0.781512605
auc,0.78818085,0.786852241,0.678109735,0.77272872,0.79745354,0.708471761,0.811538462,0.830753058,0.801412429,0.775869571
f1,0.689138577,0.704761905,0.530120482,0.653198653,0.753333333,0.580310881,0.730337079,0.745454545,0.666666667,0.657243816
,,,,,,,,,,
acc,0.806074766,0.809815951,0.790322581,0.73657289,0.785507246,0.803874092,0.792207792,0.821656051,0.742331288,0.773364486
recall,0.745945946,0.725490196,0.425120773,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.933333333,0.781512605
auc,0.78818085,0.786852241,0.678109735,0.77272872,0.79745354,0.708471761,0.811538462,0.830753058,0.801412429,0.775869571
f1,0.689138577,0.704761905,0.530120482,0.653198653,0.753333333,0.580310881,0.730337079,0.745454545,0.666666667,0.657243816
,,,,,,,,,,
acc,0.806074766,0.809815951,0.77688172,0.73657289,0.785507246,0.803874092,0.792207792,0.821656051,0.742331288,0.773364486
recall,0.745945946,0.725490196,0.787439614,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.933333333,0.781512605
auc,0.78818085,0.786852241,0.780125766,0.77272872,0.79745354,0.708471761,0.811538462,0.830753058,0.801412429,0.775869571
f1,0.689138577,0.704761905,0.662601626,0.653198653,0.753333333,0.580310881,0.730337079,0.745454545,0.666666667,0.657243816
,,,,,,,,,,
acc,0.806074766,0.809815951,0.790322581,0.751918159,0.808695652,0.803874092,0.792207792,0.828025478,0.797546012,0.773364486
recall,0.745945946,0.725490196,0.425120773,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.777777778,0.781512605
auc,0.78818085,0.786852241,0.678109735,0.783520087,0.816321464,0.708471761,0.811538462,0.835340214,0.791431262,0.775869571
f1,0.689138577,0.704761905,0.530120482,0.666666667,0.773972603,0.580310881,0.730337079,0.752293578,0.67961165,0.657243816
,,,,,,,,,,
acc,0.806074766,0.809815951,0.790322581,0.73657289,0.785507246,0.803874092,0.792207792,0.821656051,0.742331288,0.773364486
recall,0.745945946,0.725490196,0.425120773,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.933333333,0.781512605
auc,0.78818085,0.786852241,0.678109735,0.77272872,0.79745354,0.708471761,0.811538462,0.830753058,0.801412429,0.775869571
f1,0.689138577,0.704761905,0.530120482,0.653198653,0.753333333,0.580310881,0.730337079,0.745454545,0.666666667,0.657243816
,,,,,,,,,,
acc,0.806074766,0.809815951,0.790322581,0.73657289,0.785507246,0.803874092,0.792207792,0.821656051,0.742331288,0.773364486
recall,0.745945946,0.725490196,0.425120773,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.933333333,0.781512605
auc,0.78818085,0.786852241,0.678109735,0.77272872,0.79745354,0.708471761,0.811538462,0.830753058,0.801412429,0.775869571
f1,0.689138577,0.704761905,0.530120482,0.653198653,0.753333333,0.580310881,0.730337079,0.745454545,0.666666667,0.657243816
,,,,,,,,,,
acc,0.806074766,0.809815951,0.790322581,0.73657289,0.808695652,0.803874092,0.792207792,0.821656051,0.742331288,0.773364486
recall,0.745945946,0.725490196,0.425120773,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.933333333,0.781512605
auc,0.78818085,0.786852241,0.678109735,0.77272872,0.816321464,0.708471761,0.811538462,0.830753058,0.801412429,0.775869571
f1,0.689138577,0.704761905,0.530120482,0.653198653,0.773972603,0.580310881,0.730337079,0.745454545,0.666666667,0.657243816
,,,,,,,,,,
acc,0.806074766,0.809815951,0.790322581,0.73657289,0.808695652,0.803874092,0.792207792,0.821656051,0.791411043,0.773364486
recall,0.745945946,0.725490196,0.425120773,0.85840708,0.84962406,0.5,0.866666667,0.854166667,0.933333333,0.781512605
auc,0.78818085,0.786852241,0.678109735,0.77272872,0.816321464,0.708471761,0.811538462,0.830753058,0.835310734,0.775869571
f1,0.689138577,0.704761905,0.530120482,0.653198653,0.773972603,0.580310881,0.730337079,0.745454545,0.711864407,0.657243816
